machine_id,machine_name,machine_type,line_id,plant_id,capacity_units_per_hour,commissioned_date,maintenance_cycle_days
MCH-001,Machine 001,SMT,ASSEMBLY-LINE-02,PLANT-NOIDA-01,350,2021-03-15,90
MCH-002,Machine 002,PICK_AND_PLACE,ASSEMBLY-LINE-01,PLANT-NOIDA-01,320,2021-03-15,60
MCH-003,Machine 003,WAVE_SOLDER,PACKAGING-01,PLANT-NOIDA-01,320,2021-03-15,60
MCH-004,Machine 004,AOI,SMT-LINE-01,PLANT-NOIDA-01,280,2021-03-15,60
MCH-005,Machine 005,REFLOW_OVEN,PACKAGING-01,PLANT-NOIDA-01,300,2021-03-15,60
MCH-006,Machine 006,PICK_AND_PLACE,ASSEMBLY-LINE-01,PLANT-NOIDA-01,350,2021-03-15,90
MCH-007,Machine 007,SMT,ASSEMBLY-LINE-02,PLANT-NOIDA-01,350,2021-03-15,90
MCH-008,Machine 008,AOI,ASSEMBLY-LINE-01,PLANT-NOIDA-01,300,2021-03-15,30
MCH-009,Machine 009,AOI,ASSEMBLY-LINE-01,PLANT-NOIDA-01,350,2021-03-15,30
MCH-010,Machine 010,REFLOW_OVEN,SMT-LINE-01,PLANT-NOIDA-01,320,2021-03-15,30
MCH-011,Machine 011,PICK_AND_PLACE,ASSEMBLY-LINE-01,PLANT-NOIDA-01,320,2021-03-15,90
MCH-012,Machine 012,WAVE_SOLDER,ASSEMBLY-LINE-01,PLANT-NOIDA-01,350,2021-03-15,60
MCH-013,Machine 013,PICK_AND_PLACE,ASSEMBLY-LINE-02,PLANT-NOIDA-01,350,2021-03-15,60
MCH-014,Machine 014,REFLOW_OVEN,SMT-LINE-02,PLANT-NOIDA-01,280,2021-03-15,30
MCH-015,Machine 015,PICK_AND_PLACE,SMT-LINE-02,PLANT-NOIDA-01,280,2021-03-15,30
MCH-016,Machine 016,AOI,SMT-LINE-02,PLANT-NOIDA-01,280,2021-03-15,30
MCH-017,Machine 017,AOI,SMT-LINE-01,PLANT-NOIDA-01,280,2021-03-15,30
MCH-018,Machine 018,WAVE_SOLDER,ASSEMBLY-LINE-02,PLANT-NOIDA-01,280,2021-03-15,30
MCH-019,Machine 019,WAVE_SOLDER,ASSEMBLY-LINE-01,PLANT-NOIDA-01,300,2021-03-15,30
MCH-020,Machine 020,PICK_AND_PLACE,ASSEMBLY-LINE-02,PLANT-NOIDA-01,300,2021-03-15,30
