event_id,machine_id,sensor_type,sensor_value,unit,event_timestamp,line_id,shift_id,is_anomaly_flag,firmware_version
EVT-000000,MCH-004,TEMPERATURE,71.68,celsius,2024-07-29T10:50:00.000Z,SMT-LINE-02,SHIFT-C,False,v2.4.1
EVT-000001,MCH-018,PRESSURE,3.975,bar,2024-08-07T16:00:00.000Z,PACKAGING-01,SHIFT-B,False,v2.4.1
EVT-000002,MCH-007,CYCLE_COUNT,209,count,2024-06-09T18:40:00.000Z,PACKAGING-01,SHIFT-A,False,v2.4.1
EVT-000003,MCH-018,GOOD_UNITS,287,count,2024-08-05T10:10:00.000Z,ASSEMBLY-LINE-02,SHIFT-C,False,v2.4.1
EVT-000004,MCH-001,VIBRATION,0.1083,count,2024-08-19T09:00:00.000Z,SMT-LINE-02,SHIFT-A,False,v2.4.1
EVT-000005,MCH-004,PRESSURE,3.941,bar,2024-07-01T21:18:00.000Z,ASSEMBLY-LINE-02,SHIFT-A,False,v2.4.1
EVT-000006,MCH-020,CYCLE_TIME_SECONDS,19.4,count,2024-07-02T13:22:00.000Z,PACKAGING-01,SHIFT-A,False,v2.4.1
EVT-000007,MCH-003,DOWNTIME_MINUTES,1.2,count,2024-07-05T16:55:00.000Z,PACKAGING-01,SHIFT-B,False,v2.4.1
EVT-000008,MCH-003,TEMPERATURE,59.88,celsius,2024-08-04T09:09:00.000Z,SMT-LINE-02,SHIFT-B,False,v2.4.1
EVT-000009,MCH-008,PRESSURE,3.959,bar,2024-08-18T02:28:00.000Z,ASSEMBLY-LINE-01,SHIFT-A,False,v2.4.1
EVT-000010,MCH-009,PRESSURE,4.426,bar,2024-06-20T07:40:00.000Z,PACKAGING-01,SHIFT-C,False,v2.4.1
EVT-000011,MCH-008,VIBRATION,0.0892,count,2024-08-06T14:48:00.000Z,PACKAGING-01,SHIFT-A,False,v2.4.1
EVT-000012,MCH-002,CYCLE_COUNT,290,count,2024-08-16T23:14:00.000Z,SMT-LINE-01,SHIFT-B,False,v2.4.1
EVT-000013,MCH-007,DOWNTIME_EVENT,1.0,count,2024-06-07T06:35:00.000Z,ASSEMBLY-LINE-01,SHIFT-A,False,v2.4.1
EVT-000014,MCH-015,VIBRATION,0.1275,count,2024-07-07T06:16:00.000Z,ASSEMBLY-LINE-01,SHIFT-A,False,v2.4.1
EVT-000015,MCH-018,CYCLE_TIME_SECONDS,18.0,count,2024-07-22T08:19:00.000Z,PACKAGING-01,SHIFT-B,False,v2.4.1
EVT-000016,MCH-017,TOTAL_OUTPUT,292,count,2024-06-13T20:11:00.000Z,SMT-LINE-01,SHIFT-A,False,v2.4.1
EVT-000017,MCH-014,DOWNTIME_EVENT,1.0,count,2024-06-15T19:29:00.000Z,SMT-LINE-01,SHIFT-B,False,v2.4.1
EVT-000018,MCH-017,CYCLE_TIME_SECONDS,15.4,count,2024-07-13T20:28:00.000Z,PACKAGING-01,SHIFT-A,False,v2.4.1
EVT-000019,MCH-018,CYCLE_TIME_SECONDS,18.3,count,2024-06-11T16:14:00.000Z,ASSEMBLY-LINE-01,SHIFT-B,False,v2.4.1
EVT-000020,MCH-009,DOWNTIME_MINUTES,4.8,count,2024-06-01T13:05:00.000Z,PACKAGING-01,SHIFT-A,False,v2.4.1
EVT-000021,MCH-017,DOWNTIME_EVENT,1.0,count,2024-06-28T09:57:00.000Z,SMT-LINE-02,SHIFT-A,False,v2.4.1
EVT-000022,MCH-018,DOWNTIME_MINUTES,8.4,count,2024-06-15T22:54:00.000Z,PACKAGING-01,SHIFT-B,False,v2.4.1
EVT-000023,MCH-012,CYCLE_TIME_SECONDS,15.7,count,2024-06-11T10:22:00.000Z,SMT-LINE-02,SHIFT-A,False,v2.4.1
EVT-000024,MCH-003,PRESSURE,4.137,bar,2024-07-22T21:24:00.000Z,PACKAGING-01,SHIFT-A,False,v2.4.1
EVT-000025,MCH-018,VIBRATION,0.0469,count,2024-07-14T12:16:00.000Z,ASSEMBLY-LINE-01,SHIFT-C,False,v2.4.1
EVT-000026,MCH-007,DOWNTIME_MINUTES,4.7,count,2024-07-09T18:21:00.000Z,SMT-LINE-02,SHIFT-C,False,v2.4.1
EVT-000027,MCH-012,TOTAL_OUTPUT,318,count,2024-08-01T09:19:00.000Z,PACKAGING-01,SHIFT-B,False,v2.4.1
EVT-000028,MCH-003,DEFECT_COUNT,0,count,2024-06-21T16:51:00.000Z,PACKAGING-01,SHIFT-C,False,v2.4.1
EVT-000029,MCH-001,PRESSURE,4.173,bar,2024-06-21T07:04:00.000Z,SMT-LINE-01,SHIFT-A,False,v2.4.1
EVT-000030,MCH-017,CYCLE_COUNT,151,count,2024-06-07T16:47:00.000Z,ASSEMBLY-LINE-02,SHIFT-A,False,v2.4.1
EVT-000031,MCH-019,DOWNTIME_EVENT,1.0,count,2024-08-06T02:11:00.000Z,ASSEMBLY-LINE-02,SHIFT-A,False,v2.4.1
EVT-000032,MCH-014,CYCLE_COUNT,104,count,2024-08-13T18:00:00.000Z,SMT-LINE-01,SHIFT-C,False,v2.4.1
EVT-000033,MCH-014,TOTAL_OUTPUT,317,count,2024-07-09T19:19:00.000Z,SMT-LINE-01,SHIFT-C,False,v2.4.1
EVT-000034,MCH-004,TEMPERATURE,69.31,celsius,2024-07-30T01:36:00.000Z,ASSEMBLY-LINE-02,SHIFT-C,False,v2.4.1
EVT-000035,MCH-004,CYCLE_COUNT,129,count,2024-08-18T16:21:00.000Z,SMT-LINE-02,SHIFT-C,False,v2.4.1
EVT-000036,MCH-006,CYCLE_TIME_SECONDS,13.0,count,2024-07-09T15:36:00.000Z,SMT-LINE-01,SHIFT-B,False,v2.4.1
EVT-000037,MCH-018,PRESSURE,4.342,bar,2024-08-18T03:53:00.000Z,SMT-LINE-01,SHIFT-C,False,v2.4.1
EVT-000038,MCH-001,PRESSURE,4.722,bar,2024-08-16T08:19:00.000Z,SMT-LINE-02,SHIFT-B,False,v2.4.1
EVT-000039,MCH-013,TEMPERATURE,65.06,celsius,2024-06-20T16:56:00.000Z,SMT-LINE-02,SHIFT-B,True,v2.4.1
EVT-000040,MCH-009,TOTAL_OUTPUT,299,count,2024-07-06T18:53:00.000Z,ASSEMBLY-LINE-02,SHIFT-C,False,v2.4.1
EVT-000041,MCH-018,TOTAL_OUTPUT,294,count,2024-08-11T13:16:00.000Z,SMT-LINE-02,SHIFT-B,False,v2.4.1
EVT-000042,MCH-019,DOWNTIME_MINUTES,0.2,count,2024-06-06T13:45:00.000Z,ASSEMBLY-LINE-01,SHIFT-A,False,v2.4.1
EVT-000043,MCH-017,DOWNTIME_MINUTES,0.6,count,2024-07-14T15:33:00.000Z,PACKAGING-01,SHIFT-A,False,v2.4.1
EVT-000044,MCH-020,PRESSURE,4.101,bar,2024-06-07T11:41:00.000Z,SMT-LINE-01,SHIFT-C,False,v2.4.1
EVT-000045,MCH-002,DOWNTIME_EVENT,1.0,count,2024-07-25T08:44:00.000Z,SMT-LINE-01,SHIFT-B,False,v2.4.1
EVT-000046,MCH-017,DEFECT_COUNT,8,count,2024-07-22T16:45:00.000Z,SMT-LINE-02,SHIFT-C,False,v2.4.1
EVT-000047,MCH-009,GOOD_UNITS,284,count,2024-06-22T23:25:00.000Z,ASSEMBLY-LINE-01,SHIFT-B,False,v2.4.1
EVT-000048,MCH-003,TEMPERATURE,66.78,celsius,2024-08-08T16:28:00.000Z,ASSEMBLY-LINE-02,SHIFT-C,False,v2.4.1
EVT-000049,MCH-003,DOWNTIME_MINUTES,0.8,count,2024-06-10T08:24:00.000Z,ASSEMBLY-LINE-01,SHIFT-A,False,v2.4.1
EVT-000050,MCH-003,CYCLE_COUNT,174,count,2024-08-20T10:16:00.000Z,ASSEMBLY-LINE-01,SHIFT-A,False,v2.4.1
EVT-000051,MCH-010,DOWNTIME_EVENT,1.0,count,2024-07-20T16:40:00.000Z,PACKAGING-01,SHIFT-A,False,v2.4.1
EVT-000052,MCH-010,PRESSURE,4.349,bar,2024-07-21T17:32:00.000Z,SMT-LINE-01,SHIFT-A,False,v2.4.1
EVT-000053,MCH-009,CYCLE_TIME_SECONDS,17.5,count,2024-06-15T09:34:00.000Z,PACKAGING-01,SHIFT-A,False,v2.4.1
EVT-000054,MCH-009,DOWNTIME_MINUTES,2.2,count,2024-06-19T18:45:00.000Z,SMT-LINE-01,SHIFT-A,False,v2.4.1
EVT-000055,MCH-009,TEMPERATURE,85.73,celsius,2024-08-15T17:44:00.000Z,ASSEMBLY-LINE-01,SHIFT-A,False,v2.4.1
EVT-000056,MCH-014,DOWNTIME_MINUTES,0.0,count,2024-07-21T11:09:00.000Z,SMT-LINE-01,SHIFT-C,False,v2.4.1
EVT-000057,MCH-002,DEFECT_COUNT,4,count,2024-07-20T21:51:00.000Z,ASSEMBLY-LINE-02,SHIFT-A,False,v2.4.1
EVT-000058,MCH-002,DEFECT_COUNT,6,count,2024-07-04T10:35:00.000Z,SMT-LINE-02,SHIFT-C,False,v2.4.1
EVT-000059,MCH-018,GOOD_UNITS,299,count,2024-08-11T06:11:00.000Z,SMT-LINE-02,SHIFT-A,False,v2.4.1
EVT-000060,MCH-006,GOOD_UNITS,280,count,2024-08-29T02:33:00.000Z,SMT-LINE-02,SHIFT-C,False,v2.4.1
EVT-000061,MCH-014,CYCLE_COUNT,148,count,2024-08-11T11:08:00.000Z,SMT-LINE-02,SHIFT-C,False,v2.4.1
EVT-000062,MCH-002,TOTAL_OUTPUT,297,count,2024-08-19T15:16:00.000Z,SMT-LINE-02,SHIFT-B,False,v2.4.1
EVT-000063,MCH-008,CYCLE_COUNT,86,count,2024-08-14T22:29:00.000Z,SMT-LINE-02,SHIFT-B,False,v2.4.1
EVT-000064,MCH-003,CYCLE_TIME_SECONDS,18.1,count,2024-08-18T22:12:00.000Z,ASSEMBLY-LINE-01,SHIFT-C,False,v2.4.1
EVT-000065,MCH-018,DEFECT_COUNT,0,count,2024-08-02T02:25:00.000Z,SMT-LINE-01,SHIFT-B,False,v2.4.1
EVT-000066,MCH-009,TEMPERATURE,78.64,celsius,2024-08-27T20:41:00.000Z,ASSEMBLY-LINE-01,SHIFT-B,False,v2.4.1
EVT-000067,MCH-004,GOOD_UNITS,308,count,2024-07-17T19:13:00.000Z,PACKAGING-01,SHIFT-A,False,v2.4.1
EVT-000068,MCH-014,TEMPERATURE,77.38,celsius,2024-08-04T18:21:00.000Z,PACKAGING-01,SHIFT-C,False,v2.4.1
EVT-000069,MCH-007,DEFECT_COUNT,13,count,2024-08-25T20:02:00.000Z,SMT-LINE-01,SHIFT-C,False,v2.4.1
EVT-000070,MCH-011,PRESSURE,4.152,bar,2024-07-27T23:18:00.000Z,ASSEMBLY-LINE-01,SHIFT-C,False,v2.4.1
EVT-000071,MCH-010,DOWNTIME_MINUTES,0.5,count,2024-07-07T21:03:00.000Z,ASSEMBLY-LINE-02,SHIFT-C,False,v2.4.1
EVT-000072,MCH-006,DOWNTIME_EVENT,1.0,count,2024-08-01T21:37:00.000Z,PACKAGING-01,SHIFT-B,False,v2.4.1
EVT-000073,MCH-001,CYCLE_TIME_SECONDS,15.9,count,2024-08-16T03:18:00.000Z,ASSEMBLY-LINE-01,SHIFT-A,False,v2.4.1
EVT-000074,MCH-020,DEFECT_COUNT,14,count,2024-07-24T00:59:00.000Z,ASSEMBLY-LINE-02,SHIFT-B,False,v2.4.1
EVT-000075,MCH-016,VIBRATION,0.1023,count,2024-07-17T18:40:00.000Z,PACKAGING-01,SHIFT-B,False,v2.4.1
EVT-000076,MCH-008,CYCLE_TIME_SECONDS,16.3,count,2024-08-26T21:40:00.000Z,SMT-LINE-02,SHIFT-A,False,v2.4.1
EVT-000077,MCH-008,TOTAL_OUTPUT,309,count,2024-06-05T10:57:00.000Z,SMT-LINE-01,SHIFT-B,False,v2.4.1
EVT-000078,MCH-019,CYCLE_COUNT,263,count,2024-07-28T13:44:00.000Z,ASSEMBLY-LINE-02,SHIFT-B,False,v2.4.1
EVT-000079,MCH-001,PRESSURE,4.237,bar,2024-06-14T16:22:00.000Z,PACKAGING-01,SHIFT-B,False,v2.4.1
EVT-000080,MCH-004,TOTAL_OUTPUT,294,count,2024-06-23T22:22:00.000Z,ASSEMBLY-LINE-02,SHIFT-C,False,v2.4.1
EVT-000081,MCH-020,DEFECT_COUNT,14,count,2024-07-22T02:59:00.000Z,PACKAGING-01,SHIFT-C,False,v2.4.1
EVT-000082,MCH-018,TOTAL_OUTPUT,318,count,2024-07-10T02:13:00.000Z,SMT-LINE-02,SHIFT-C,False,v2.4.1
EVT-000083,MCH-009,CYCLE_COUNT,295,count,2024-07-12T05:11:00.000Z,ASSEMBLY-LINE-01,SHIFT-C,False,v2.4.1
EVT-000084,MCH-009,TOTAL_OUTPUT,292,count,2024-06-23T00:38:00.000Z,ASSEMBLY-LINE-01,SHIFT-A,False,v2.4.1
EVT-000085,MCH-018,PRESSURE,3.993,bar,2024-06-30T08:24:00.000Z,SMT-LINE-02,SHIFT-A,False,v2.4.1
EVT-000086,MCH-005,CYCLE_COUNT,96,count,2024-08-03T09:57:00.000Z,ASSEMBLY-LINE-02,SHIFT-B,False,v2.4.1
EVT-000087,MCH-014,TEMPERATURE,74.24,celsius,2024-07-13T15:49:00.000Z,PACKAGING-01,SHIFT-C,True,v2.4.1
EVT-000088,MCH-019,GOOD_UNITS,295,count,2024-08-20T09:49:00.000Z,SMT-LINE-01,SHIFT-B,False,v2.4.1
EVT-000089,MCH-014,DOWNTIME_MINUTES,4.6,count,2024-07-06T17:56:00.000Z,PACKAGING-01,SHIFT-C,False,v2.4.1
EVT-000090,MCH-008,CYCLE_TIME_SECONDS,20.5,count,2024-07-15T16:33:00.000Z,ASSEMBLY-LINE-02,SHIFT-B,True,v2.4.1
EVT-000091,MCH-013,VIBRATION,0.1684,count,2024-07-01T20:17:00.000Z,PACKAGING-01,SHIFT-C,True,v2.4.1
EVT-000092,MCH-019,DOWNTIME_EVENT,1.0,count,2024-07-07T02:45:00.000Z,SMT-LINE-01,SHIFT-A,False,v2.4.1
